id_uni,nomb_uni,id_est,id_est-2,nom_est
2,UNIVERSIDAD CENTRAL DE VENEZUELA,1,1,DTTO. CAPITAL
3,UNIVERSIDAD CENTRAL DE VENEZUELA,4,4,EDO. ARAGUA
4,UNIVERSIDAD CENTRAL DE VENEZUELA,12,12,EDO. LARA
5,UNIVERSIDAD DE LOS ANDES,13,13,EDO. MERIDA
6,UNIVERSIDAD DE LOS ANDES,20,20,EDO . TRUJILLO
7,UNIVERSIDAD DE CARABOBO,7,7,EDO. CARABOBO
8,UNIVERSIDAD DEL ZULIA,23,23,EDO. ZULIA
9,UNIVERSIDAD CENTRO OCCIDENTAL LISANDRO ALVARADO,12,12,EDO. LARA
10,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS OCCIDENTALES EZEQUIEL ZAMORA,3,3,EDO. APURE
11,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS OCCIDENTALES EZEQUIEL ZAMORA,5,5,EDO. BARINAS
12,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS OCCIDENTALES EZEQUIEL ZAMORA,17,17,EDO. PORTUGUESA
13,UNIVERSIDAD NACIONAL ABIERTA,1,1,DTTO. CAPITAL
14,UNIVERSIDAD NACIONAL ABIERTA,2,2,EDO. ANZOATEGUI
15,UNIVERSIDAD NACIONAL ABIERTA,3,3,EDO. APURE
16,UNIVERSIDAD NACIONAL ABIERTA,4,4,EDO. ARAGUA
17,UNIVERSIDAD NACIONAL ABIERTA,5,5,EDO. BARINAS
18,UNIVERSIDAD NACIONAL ABIERTA,6,6,EDO. BOLIVAR
19,UNIVERSIDAD NACIONAL ABIERTA,7,7,EDO. CARABOBO
20,UNIVERSIDAD NACIONAL ABIERTA,8,8,EDO. COJEDES
21,UNIVERSIDAD NACIONAL ABIERTA,10,10,EDO. FALCON
22,UNIVERSIDAD NACIONAL ABIERTA,11,11,EDO. GUARICO
23,UNIVERSIDAD NACIONAL ABIERTA,12,12,EDO. LARA
1,UNIVERSIDAD NACIONAL ABIERTA,13,13,EDO. MERIDA
25,UNIVERSIDAD NACIONAL ABIERTA,14,14,EDO. MIRANDA
26,UNIVERSIDAD NACIONAL ABIERTA,15,15,EDO. MONAGAS
27,UNIVERSIDAD NACIONAL ABIERTA,16,16,EDO. NUEVA ESPARTA
28,UNIVERSIDAD NACIONAL ABIERTA,17,17,EDO. PORTUGUESA
29,UNIVERSIDAD NACIONAL ABIERTA,18,18,EDO. SUCRE
30,UNIVERSIDAD NACIONAL ABIERTA,19,19,EDO. TACHIRA
31,UNIVERSIDAD NACIONAL ABIERTA,20,20,EDO . TRUJILLO
32,UNIVERSIDAD NACIONAL ABIERTA,22,22,EDO. YARACUY
33,UNIVERSIDAD NACIONAL ABIERTA,23,23,EDO. ZULIA
34,UNIVERSIDAD NACIONAL ABIERTA,1,1,EDO. AMAZONAS
35,UNIVERSIDAD NACIONAL ABIERTA,9,9,EDO. DELTA AMACURO
36,UNIVERSIDAD NACIONAL ABIERTA,21,21,EDO. LA GUAIRA
37,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,7,7,EDO. CARABOBO
38,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,10,10,EDO. FALCON
39,UNIVERSIDAD PEDAGÓGICA EXPERIMENTAL LIBERTADOR,1,1,DTTO. CAPITAL
40,UNIVERSIDAD PEDAGÓGICA EXPERIMENTAL LIBERTADOR,4,4,EDO. ARAGUA
41,UNIVERSIDAD PEDAGÓGICA EXPERIMENTAL LIBERTADOR,12,12,EDO. LARA
42,UNIVERSIDAD PEDAGÓGICA EXPERIMENTAL LIBERTADOR,14,14,EDO. MIRANDA
43,UNIVERSIDAD PEDAGÓGICA EXPERIMENTAL LIBERTADOR,19,19,EDO. TACHIRA
44,UNIVERSIDAD NACIONAL EXPERIMENTAL DE GUAYANA,6,6,EDO. BOLIVAR
45,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,2,2,EDO. ANZOATEGUI
46,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,3,3,EDO. APURE
47,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,4,4,EDO. ARAGUA
48,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,5,5,EDO. BARINAS
49,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,6,6,EDO. BOLIVAR
50,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,7,7,EDO. CARABOBO
51,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,8,8,EDO. COJEDES
52,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,10,10,EDO. FALCON
53,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,11,11,EDO. GUARICO
54,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,12,12,EDO. LARA
55,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,13,13,EDO. MERIDA
56,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,14,14,EDO. MIRANDA
57,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,17,17,EDO. PORTUGUESA
58,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,19,19,EDO. TACHIRA
59,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,20,20,EDO . TRUJILLO
60,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,22,22,EDO. YARACUY
61,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,21,21,EDO. LA GUAIRA
62,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMÓN RODRÍGUEZ,1,1,DTTO. CAPITAL
63,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMÓN RODRÍGUEZ,2,2,EDO. ANZOATEGUI
64,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMÓN RODRÍGUEZ,3,3,EDO. APURE
65,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMÓN RODRÍGUEZ,5,5,EDO. BARINAS
66,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMÓN RODRÍGUEZ,10,10,EDO. FALCON
67,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMÓN RODRÍGUEZ,22,22,EDO. YARACUY
68,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMÓN RODRÍGUEZ,1,1,EDO. AMAZONAS
69,"INSTITUTO UNIVERSITARIO DE AERONÁUTICA CIVIL ""MAYOR (AV)  MIGUEL RODRÍGUEZ""",4,4,EDO. ARAGUA
71,"UNIVERSIDAD DE LAS CIENCIAS DE LA SALUD ""HUGO CHÁVEZ FRÍAS""",7,7,EDO. CARABOBO
73,UNIVERSIDAD MILITAR BOLIVARIANA DE VENEZUELA,1,1,DTTO. CAPITAL
74,UNIVERSIDAD MILITAR BOLIVARIANA DE VENEZUELA,4,4,EDO. ARAGUA
75,UNIVERSIDAD MILITAR BOLIVARIANA DE VENEZUELA,21,21,EDO. LA GUAIRA
76,UNIVERSIDAD NACIONAL DEL TURISMO,2,2,EDO. ANZOATEGUI
77,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LA SEGURIDAD,1,1,DTTO. CAPITAL
78,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES RÓMULO GALLEGOS,11,11,EDO. GUARICO
79,UNIVERSIDAD NACIONAL EXPERIMENTAL DEL TRANSPORTE,1,1,DTTO. CAPITAL
80,UNIVERSIDAD NACIONAL EXPERIMENTAL DEL YARACUY,22,22,EDO. YARACUY
81,UNIVERSIDAD NACIONAL EXPERIMENTAL RAFAEL MARÍA BARALT,23,23,EDO. ZULIA
82,UNIVERSIDAD NACIONAL EXPERIMENTAL SUR DEL LAGO JESÚS MARÍA SEMPRUM,23,23,EDO. ZULIA
84,UNIVERSIDAD POLITÉCNICA TERRITORIAL AGROINDUSTRIAL DEL ESTADO TÁCHIRA,19,19,EDO. TACHIRA
85,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DE BARLOVENTO ""ARGELIA LAYA""",14,14,EDO. MIRANDA
86,UNIVERSIDAD POLITÉCNICA TERRITORIAL DE CARACAS “MARISCAL SUCRE”,1,1,DTTO. CAPITAL
87,UNIVERSIDAD POLITÉCNICA TERRITORIAL DE MARACAIBO,23,23,EDO. ZULIA
88,UNIVERSIDAD POLITÉCNICA TERRITORIAL DE PUERTO CABELLO,10,10,EDO. FALCON
89,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DE YARACUY ""ARÍSTIDES BASTIDAS""",22,22,EDO. YARACUY
90,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ALTO APURE ""PEDRO CAMEJO""",3,3,EDO. APURE
92,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ESTADO BARINAS ""JOSÉ FELIX RIBAS""",5,5,EDO. BARINAS
93,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ESTADO LARA ""ANDRES ELOY BLANCO""",12,12,EDO. LARA
94,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ESTADO MÉRIDA ""KLÉBER RAMÍREZ""",13,13,EDO. MERIDA
95,UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ESTADO PORTUGUESA ,17,17,EDO. PORTUGUESA
96,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ESTADO TRUJILLO ""MARIO BRICEÑO IRAGORRY""",20,20,EDO . TRUJILLO
97,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL NORTE DE MONAGAS ""LUDOVICO SILVA""",15,15,EDO. MONAGAS
98,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL NORTE DEL TÁCHIRA ""MANUELA SÁENZ""",19,19,EDO. TACHIRA
99,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL OESTE DE SUCRE ""CLODOSBALDO RUSSIÁN""",18,18,EDO. SUCRE
100,UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ZULIA,23,23,EDO. ZULIA
101,UNIVERSIDAD TERRITORIAL DELTAICA FRANCISCO TAMAYO,15,15,EDO. MONAGAS
102,UNIVERSIDAD TERRITORIAL DELTAICA FRANCISCO TAMAYO,9,9,EDO. DELTA AMACURO
103,UNIVERSIDAD CATÓLICA ANDRÉS BELLO,1,1,DTTO. CAPITAL
104,UNIVERSIDAD CATÓLICA ANDRÉS BELLO,6,6,EDO. BOLIVAR
105,UNIVERSIDAD CATÓLICA ANDRÉS BELLO,10,10,EDO. FALCON
106,UNIVERSIDAD CATÓLICA ANDRÉS BELLO,14,14,EDO. MIRANDA
112,COLEGIO UNIVERSITARIO DE ENFERMERÍA CENTRO MÉDICO DE CARACAS,1,1,DTTO. CAPITAL
113,COLEGIO UNIVERSITARIO DE ENFERMERÍA DE LA CRUZ ROJA DE VENEZUELA,1,1,DTTO. CAPITAL
114,COLEGIO UNIVERSITARIO DE PSICOPEDAGOGÍA,1,1,DTTO. CAPITAL
115,COLEGIO UNIVERSITARIO DE PSICOPEDAGOGÍA,7,7,EDO. CARABOBO
116,COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,23,23,EDO. ZULIA
120,COLEGIO UNIVERSITARIO JEAN PIAGET,14,14,EDO. MIRANDA
128,INSTITUTO UNIVERSITARIO ADVENTISTA DE VENEZUELA,22,22,EDO. YARACUY
129,INSTITUTO UNIVERSITARIO AVEPANE,14,14,EDO. MIRANDA
132,INSTITUTO UNIVERSITARIO DE ADMINISTRACIÓN Y GERENCIA,1,1,DTTO. CAPITAL
134,INSTITUTO UNIVERSITARIO DE DISEÑO LAS MERCEDES,14,14,EDO. MIRANDA
136,INSTITUTO UNIVERSITARIO DE GERENCIA Y TECNOLOGÍA,1,1,DTTO. CAPITAL
137,INSTITUTO UNIVERSITARIO DE LA AUDICIÓN Y EL LENGUAJE,14,14,EDO. MIRANDA
140,INSTITUTO UNIVERSITARIO DE MERCADOTECNIA,1,1,DTTO. CAPITAL
141,INSTITUTO UNIVERSITARIO DE NUEVAS PROFESIONES,7,7,EDO. CARABOBO
142,INSTITUTO UNIVERSITARIO DE NUEVAS PROFESIONES,14,14,EDO. MIRANDA
143,INSTITUTO UNIVERSITARIO DE PROFESIONES GERENCIALES,1,1,DTTO. CAPITAL
144,INSTITUTO UNIVERSITARIO DE RELACIONES PÚBLICAS,1,1,DTTO. CAPITAL
145,INSTITUTO UNIVERSITARIO DE SEGUROS,1,1,DTTO. CAPITAL
146,"INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ""LAURA EVANGELISTA ALVARADO CARDOZO""",4,4,EDO. ARAGUA
147,"INSTITUTO UNIVERSITARIO DE TECNOLOGÍA \""ARTURO MICHELENA\""",7,7,EDO. CARABOBO
148,"INSTITUTO UNIVERSITARIO DE TECNOLOGÍA \""GENERAL PEDRO MARÍA FREITES\""",2,2,EDO. ANZOATEGUI
149,"INSTITUTO UNIVERSITARIO DE TECNOLOGÍA \""POLYCOM\""",4,4,EDO. ARAGUA
150,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ALBERTO ADRIANI,1,1,DTTO. CAPITAL
152,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA AMÉRICO VESPUCIO,14,14,EDO. MIRANDA
130,INSTITUTO UNIVERSITARIO CARLOS SOUBLETTE,4,4,EDO. ARAGUA
131,INSTITUTO UNIVERSITARIO CARLOS SOUBLETTE,7,7,EDO. CARABOBO
91,"UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ESTADO ARAGUA ""FEDERICO BRITO FIGUEROA""",4,4,EDO. ARAGUA
133,INSTITUTO UNIVERSITARIO DE CIENCIAS ADMINISTRATIVAS Y FISCALES,5,5,EDO. BARINAS
107,COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,1,1,DTTO. CAPITAL
108,COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,4,4,EDO. ARAGUA
109,COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,7,7,EDO. CARABOBO
110,COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,11,11,EDO. GUARICO
111,COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,22,22,EDO. YARACUY
121,COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,6,6,EDO. BOLIVAR
122,COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,7,7,EDO. CARABOBO
123,COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,14,14,EDO. MIRANDA
11,COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,17,17,EDO. PORTUGUESA
125,COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,19,19,EDO. TACHIRA
126,COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,23,23,EDO. ZULIA
127,COLEGIO UNIVERSITARIO PADRE ISAÍAS OJEDA,7,7,EDO. CARABOBO
117,COLEGIO UNIVERSITARIO FERMÍN TORO,1,1,DTTO. CAPITAL
118,COLEGIO UNIVERSITARIO FERMÍN TORO,12,12,EDO. LARA
119,COLEGIO UNIVERSITARIO FERMÍN TORO,17,17,EDO. PORTUGUESA
138,INSTITUTO UNIVERSITARIO DE LA FRONTERA,13,13,EDO. MERIDA
139,INSTITUTO UNIVERSITARIO DE LA FRONTERA,19,19,EDO. TACHIRA
135,INSTITUTO UNIVERSITARIO DE EDUCACIÓN ESPECIALIZADA,23,23,EDO. ZULIA
177,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DR. JOSÉ GREGORIO HERNÁNDEZ,20,20,EDO . TRUJILLO
178,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ELÍAS CALIXTO POMPA,14,14,EDO. MIRANDA
179,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA HENRY PITTIER,2,2,EDO. ANZOATEGUI
196,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JOSÉ LEONARDO CHIRINO,10,10,EDO. FALCON
197,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JOSÉ MARÍA CARREÑO,14,14,EDO. MIRANDA
203,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA LOS ANDES,19,19,EDO. TACHIRA
204,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA MARILIS MÉNDEZ,3,3,EDO. APURE
205,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA MARIO BRICEÑO IRAGORRY,12,12,EDO. LARA
206,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA MARIO BRICEÑO IRAGORRY,20,20,EDO . TRUJILLO
209,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA PASCAL,4,4,EDO. ARAGUA
214,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA SUPERIOR DE ORIENTE,2,2,EDO. ANZOATEGUI
215,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA TOMÁS LANDER,14,14,EDO. MIRANDA
216,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA VENEZUELA,1,1,DTTO. CAPITAL
217,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA VENEZUELA,15,15,EDO. MONAGAS
218,INSTITUTO UNIVERSITARIO ECLESIÁSTICO SANTO TOMÁS DE AQUINO,19,19,EDO. TACHIRA
219,INSTITUTO UNIVERSITARIO GRAN COLOMBIA,19,19,EDO. TACHIRA
220,INSTITUTO UNIVERSITARIO INSULAR,16,16,EDO. NUEVA ESPARTA
221,INSTITUTO UNIVERSITARIO JESÚS ENRIQUE LOSSADA,19,19,EDO. TACHIRA
222,INSTITUTO UNIVERSITARIO JESÚS ENRIQUE LOSSADA,23,23,EDO. ZULIA
223,INSTITUTO UNIVERSITARIO JESÚS OBRERO,1,1,DTTO. CAPITAL
21,INSTITUTO UNIVERSITARIO JESÚS OBRERO,12,12,EDO. LARA
225,INSTITUTO UNIVERSITARIO JESÚS OBRERO,13,13,EDO. MERIDA
226,INSTITUTO UNIVERSITARIO JESÚS OBRERO,17,17,EDO. PORTUGUESA
162,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,16,16,EDO. NUEVA ESPARTA
163,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,19,19,EDO. TACHIRA
164,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,22,22,EDO. YARACUY
165,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,23,23,EDO. ZULIA
198,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JUAN PABLO PÉREZ ALFONZO,2,2,EDO. ANZOATEGUI
199,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JUAN PABLO PÉREZ ALFONZO,4,4,EDO. ARAGUA
200,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JUAN PABLO PÉREZ ALFONZO,7,7,EDO. CARABOBO
201,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JUAN PABLO PÉREZ ALFONZO,19,19,EDO. TACHIRA
227,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,1,1,DTTO. CAPITAL
228,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,2,2,EDO. ANZOATEGUI
229,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,4,4,EDO. ARAGUA
230,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,7,7,EDO. CARABOBO
231,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,10,10,EDO. FALCON
185,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,1,1,DTTO. CAPITAL
186,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,2,2,EDO. ANZOATEGUI
187,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,6,6,EDO. BOLIVAR
188,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,10,10,EDO. FALCON
189,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,12,12,EDO. LARA
190,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,14,14,EDO. MIRANDA
191,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA INDUSTRIAL RODOLFO LOERO ARISMENDI,15,15,EDO. MONAGAS
166,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO RICAURTE,4,4,EDO. ARAGUA
167,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA CORONEL AGUSTÍN CODAZZI,5,5,EDO. BARINAS
173,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DEL MAR,6,6,EDO. BOLIVAR
174,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DEL MAR,8,8,EDO. COJEDES
175,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DEL MAR,16,16,EDO. NUEVA ESPARTA
176,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DEL MAR,20,20,EDO . TRUJILLO
